SURVEY_DATE,PRODUCT_ID,PRODUCT_NAME,,VAT,EXCISE,NET,CHANGE,PRICE
03-01-2005,1,Euro-Super 95,,185.96,558.64,371.15,-1.57,1115.75
03-01-2005,2,Automotive gas oil,,169.71,403.21,445.36,-0.33,1018.28
03-01-2005,3,Heating gas oil,,158.08,403.21,387.21,-22.55,948.5
03-01-2005,5,LPG,,92.08,156.62,303.8,0.22,552.5
03-01-2005,6,Residual fuel oil,,50.3,166.84,336.11,-12.21,553.25
03-01-2005,8,Heavy fuel oil,,0,31.39,198.13,-5.37,229.52
10-01-2005,1,Euro-Super 95,,181.33,558.64,348.03,-27.75,1088
10-01-2005,2,Automotive gas oil,,167.4,403.21,433.78,-13.89,1004.39
10-01-2005,3,Heating gas oil,,157.99,,386.74,-0.56,947.94
10-01-2005,5,LPG,,92.09,156.62,303.86,0.07,552.57
10-01-2005,6,Residual fuel oil,,50.38,166.84,337,0.97,554.22
10-01-2005,8,Heavy fuel oil,,0,31.39,206.98,8.85,238.37
17-01-2005,1,Euro-Super 95,,181.36,558.64,348.14,0.14,1088.14
17-01-2005,2,Automotive gas oil,,167.38,403.21,433.72,-0.08,1004.31
17-01-2005,3,Heating gas oil,,158.74,,390.47,4.48,952.42
17-01-2005,5,LPG,,91.98,156.62,303.28,-0.69,551.88
17-01-2005,6,Residual fuel oil,,51.16,166.84,,8.56,562.78
17-01-2005,8,Heavy fuel oil,,0,31.39,214.5,7.52,245.89
24-01-2005,1,Euro-Super 95,,181.67,558.64,349.7,1.87,1090.01
24-01-2005,2,Automotive gas oil,,167.38,403.21,433.72,0,1004.31
24-01-2005,3,Heating gas oil,,160.66,403.21,400.11,11.56,963.98
24-01-2005,5,LPG,,91.98,156.62,303.28,0,551.88
24-01-2005,6,Residual fuel oil,,52.13,166.84,354.45,10.64,573.42
24-01-2005,8,Heavy fuel oil,,0,31.39,212.45,-2.05,243.84
31-01-2005,1,Euro-Super 95,,188.68,558.64,384.79,42.1,1132.11
31-01-2005,2,Automotive gas oil,,170.43,403.21,448.96,18.29,1022.6
31-01-2005,3,Heating gas oil,,162.16,403.21,407.58,8.97,972.95
31-01-2005,5,LPG,,91.98,156.62,303.28,0,551.88
31-01-2005,6,Residual fuel oil,,52.66,166.84,359.73,5.81,579.23
31-01-2005,8,Heavy fuel oil,,0,31.39,211.14,-1.31,242.53
07-02-2005,1,Euro-Super 95,,189.31,558.64,387.92,3.76,1135.87
07-02-2005,2,Automotive gas oil,,170.44,403.21,449.02,0.07,1022.67
07-02-2005,3,Heating gas oil,,159.28,403.21,393.17,-17.29,955.66
07-02-2005,5,LPG,,91.98,156.62,303.28,0,551.88
07-02-2005,6,Residual fuel oil,,51.39,166.84,347.05,-13.95,565.28
07-02-2005,8,Heavy fuel oil,,0,31.39,218.85,7.71,250.24
14-02-2005,1,Euro-Super 95,,189.31,558.64,387.93,0.01,1135.88
14-02-2005,2,Automotive gas oil,,170.41,403.21,448.84,-0.21,1022.46
14-02-2005,3,Heating gas oil,,160.58,403.21,399.71,7.84,963.5
14-02-2005,5,LPG,,91.98,156.62,303.28,0,551.88
14-02-2005,6,Residual fuel oil,,51.56,166.84,348.79,1.91,567.19
14-02-2005,8,Heavy fuel oil,,0,31.39,215.47,-3.38,246.86
21-02-2005,1,Euro-Super 95,,189.34,558.64,388.06,0.16,1136.04
21-02-2005,2,Automotive gas oil,,170.46,403.21,449.12,0.33,1022.79
21-02-2005,3,Heating gas oil,,161.38,403.21,403.7,4.79,968.29
21-02-2005,5,LPG,,91.98,156.62,303.28,0,551.88
21-02-2005,6,Residual fuel oil,,51.55,166.84,348.62,-0.18,567.01
21-02-2005,8,Heavy fuel oil,,0,31.39,211.45,-4.02,242.84
28-02-2005,1,Euro-Super 95,,189.34,564,382.7,0,1136.04
28-02-2005,2,Automotive gas oil,,170.47,413,439.38,0.06,1022.85
